Category,Object_Name,Vertex_Count
AircraftBuoyant,m1337_rm,5000
AircraftBuoyant,m1338_rm,5000
AircraftBuoyant,m1339_rm,4878
AircraftBuoyant,m1340_rm,5000
AircraftBuoyant,m1341_rm,5000
AircraftBuoyant,m1342_rm,5000
AircraftBuoyant,m1343_rm,5000
AircraftBuoyant,m1344_rm,5000
AircraftBuoyant,m1345_rm,5000
AircraftBuoyant,m1346_rm,5000
AircraftBuoyant,m1347_rm,5000
AircraftBuoyant,m1348_rm,5000
AircraftBuoyant,m1349_rm,5000
AircraftBuoyant,m1350_rm,5000
AircraftBuoyant,m1351_rm,5000
AircraftBuoyant,m1352_rm,5000
Apartment,D00045_rm,9507
Apartment,D00086_rm,5000
Apartment,D00138_rm,5000
Apartment,D00156_rm,5009
Apartment,D00310_rm,5000
Apartment,D00348_rm,5000
Apartment,D00366_rm,5000
Apartment,D00478_rm,8128
Apartment,D00496_rm,4987
Apartment,D00626_rm,9256
Apartment,D00639_rm,5000
Apartment,D00651_rm,5010
Apartment,D00681_rm,9214
Apartment,D00780_rm,5000
Apartment,D00792_rm,5000
Apartment,D00859_rm,5000
Apartment,D00860_rm,8151
Apartment,D00869_rm,5000
Apartment,D00921_rm,5345
Apartment,D00953_rm,5000
Apartment,m463_rm,5000
Apartment,m464_rm,5000
Apartment,m465_rm,5000
AquaticAnimal,m53_rm,5000
AquaticAnimal,m54_rm,5000
AquaticAnimal,m55_rm,5000
AquaticAnimal,m56_rm,5000
AquaticAnimal,m57_rm,5000
AquaticAnimal,m58_rm,5000
AquaticAnimal,m59_rm,4996
AquaticAnimal,m60_rm,5000
AquaticAnimal,m61_rm,5000
AquaticAnimal,m62_rm,5000
AquaticAnimal,m63_rm,5000
AquaticAnimal,m64_rm,5000
AquaticAnimal,m65_rm,5000
AquaticAnimal,m66_rm,5000
AquaticAnimal,m67_rm,5000
AquaticAnimal,m68_rm,5000
AquaticAnimal,m69_rm,5000
AquaticAnimal,m70_rm,5000
AquaticAnimal,m71_rm,5000
AquaticAnimal,m72_rm,5000
AquaticAnimal,m73_rm,5000
AquaticAnimal,m74_rm,5000
AquaticAnimal,m75_rm,5000
AquaticAnimal,m76_rm,5000
AquaticAnimal,m77_rm,5000
AquaticAnimal,m78_rm,5000
AquaticAnimal,m79_rm,5000
AquaticAnimal,m80_rm,5000
AquaticAnimal,m81_rm,4979
Bed,D00031_rm,5000
Bed,D00110_rm,5000
Bed,D00121_rm,5000
Bed,D00184_rm,5000
Bed,D00210_rm,5000
Bed,D00213_rm,4993
Bed,D00217_rm,5000
Bed,D00307_rm,5000
Bed,D00322_rm,5000
Bed,D00417_rm,5000
Bed,D00538_rm,5000
Bed,D00545_rm,5000
Bed,D00552_rm,5000
Bed,D00565_rm,5000
Bed,D00650_rm,5000
Bed,D00735_rm,5000
Bed,D00836_rm,5000
Bed,D00839_rm,5000
Bed,D00969_rm,5000
Bed,D00988_rm,5000
Bed,m945_rm,5000
Bed,m946_rm,5000
Bed,m947_rm,5000
Bed,m948_rm,5000
Bed,m949_rm,5000
Bed,m950_rm,5000
Bed,m951_rm,5000
Bicycle,D00016_rm,5000
Bicycle,D00033_rm,5000
Bicycle,D00040_rm,5473
Bicycle,D00077_rm,5000
Bicycle,D00078_rm,5000
Bicycle,D00462_rm,5000
Bicycle,D00514_rm,5000
Bicycle,D00536_rm,5000
Bicycle,D00555_rm,5000
Bicycle,D00558_rm,5000
Bicycle,D00567_rm,4987
Bicycle,D00621_rm,5000
Bicycle,D00708_rm,5000
Bicycle,D00750_rm,5000
Bicycle,D00838_rm,5000
Bicycle,D00847_rm,5000
Bicycle,D00904_rm,5000
Bicycle,D00930_rm,5000
Bicycle,D00931_rm,5000
Bicycle,D00974_rm,5000
Bicycle,m1472_rm,5000
Bicycle,m1473_rm,5000
Bicycle,m1475_rm,5000
Bicycle,m1476_rm,4988
Bicycle,m1477_rm,5000
Bicycle,m1478_rm,5000
Biplane,D00069_rm,5000
Biplane,D00132_rm,5000
Biplane,D00178_rm,5000
Biplane,D00199_rm,5000
Biplane,D00246_rm,5000
Biplane,D00276_rm,5000
Biplane,D00277_rm,5000
Biplane,D00320_rm,5000
Biplane,D00373_rm,5000
Biplane,D00410_rm,5000
Biplane,D00490_rm,5000
Biplane,D00515_rm,5000
Biplane,D00601_rm,5000
Biplane,D00616_rm,5000
Biplane,D00632_rm,5000
Biplane,D00634_rm,5781
Biplane,D00666_rm,5000
Biplane,D00854_rm,5000
Biplane,D00890_rm,5000
Biplane,D00900_rm,5000
Biplane,m1118_rm,5000
Biplane,m1119_rm,5000
Biplane,m1120_rm,5000
Biplane,m1121_rm,5000
Biplane,m1122_rm,5000
Biplane,m1123_rm,5000
Biplane,m1124_rm,5000
Biplane,m1125_rm,5000
Biplane,m1126_rm,5000
Biplane,m1127_rm,5000
Biplane,m1128_rm,5000
Biplane,m1129_rm,5000
Biplane,m1131_rm,5000
Biplane,m1132_rm,5000
Biplane,m1133_rm,5000
Biplane,m1134_rm,5000
Biplane,m1135_rm,5000
Biplane,m1136_rm,5000
Biplane,m1137_rm,5000
Biplane,m1138_rm,5000
