Object,Category,Mesh volume,Surface area,Diameter,Compactness,Rectangularity,Convexity,Eccentricity,Sphericity,extents_0,extents_1,extents_2,D1_bin_0,D1_bin_1,D1_bin_2,D1_bin_3,D1_bin_4,D1_bin_5,D1_bin_6,D1_bin_7,D1_bin_8,D1_bin_9,D1_bin_10,D1_bin_11,D1_bin_12,D1_bin_13,D1_bin_14,D1_bin_15,D1_bin_16,D1_bin_17,D1_bin_18,D1_bin_19,D2_bin_0,D2_bin_1,D2_bin_2,D2_bin_3,D2_bin_4,D2_bin_5,D2_bin_6,D2_bin_7,D2_bin_8,D2_bin_9,D2_bin_10,D2_bin_11,D2_bin_12,D2_bin_13,D2_bin_14,D2_bin_15,D2_bin_16,D2_bin_17,D2_bin_18,D2_bin_19,A3_bin_0,A3_bin_1,A3_bin_2,A3_bin_3,A3_bin_4,A3_bin_5,A3_bin_6,A3_bin_7,A3_bin_8,A3_bin_9,A3_bin_10,A3_bin_11,A3_bin_12,A3_bin_13,A3_bin_14,A3_bin_15,A3_bin_16,A3_bin_17,A3_bin_18,A3_bin_19,D3_bin_0,D3_bin_1,D3_bin_2,D3_bin_3,D3_bin_4,D3_bin_5,D3_bin_6,D3_bin_7,D3_bin_8,D3_bin_9,D3_bin_10,D3_bin_11,D3_bin_12,D3_bin_13,D3_bin_14,D3_bin_15,D3_bin_16,D3_bin_17,D3_bin_18,D3_bin_19,D4_bin_0,D4_bin_1,D4_bin_2,D4_bin_3,D4_bin_4,D4_bin_5,D4_bin_6,D4_bin_7,D4_bin_8,D4_bin_9,D4_bin_10,D4_bin_11,D4_bin_12,D4_bin_13,D4_bin_14,D4_bin_15,D4_bin_16,D4_bin_17,D4_bin_18,D4_bin_19
m1337_rm.obj,AircraftBuoyant,0.392231906200525,2.6862554063054205,1.6309865982823406,1.1140474709946346,0.5094445727755975,0.7585089908189637,0.8895437148902113,0.8976278175176757,1.0,0.9087773699999999,0.9133679299999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191,0.296212,0.451344,0.015856,0.01406,0.012544,0.018984,0.003208,0.009272,0.015064,0.021376,0.027144,0.034476,0.041344,0.046988,0.053064,0.059768,0.065936,0.071952,0.077756,0.084228,0.088568,0.091936,0.097336,0.082828,0.018564,0.009192,0.017708,0.048728,0.074352,0.09466,0.107536,0.112688,0.111528,0.103472,0.089932,0.073348,0.057452,0.041272,0.028164,0.017908,0.010844,0.0057,0.002984,0.001232,0.000396,9.6e-05,0.001036,0.004128,0.011652,0.02196,0.035784,0.050388,0.0674,0.083832,0.100616,0.114164,0.124868,0.127748,0.120136,0.090108,0.036308,0.00874,0.001132,0.0,0.0,0.0,0.002864,0.01096,0.027092,0.048728,0.071992,0.092776,0.111324,0.123324,0.128096,0.121844,0.10518,0.081532,0.05008,0.019644,0.004128,0.000436,0.0,0.0,0.0,0.0
m1338_rm.obj,AircraftBuoyant,0.4287612430322341,2.8324782304477827,1.6790262630932442,1.0929903459410926,0.5163429957366515,0.7306784283790321,0.9225161947224213,0.9149211644124583,1.0,0.9513017100000001,0.95611414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.114176,0.391892,0.390376,0.0688,0.012144,0.010448,0.012164,0.002864,0.009188,0.015896,0.020924,0.02698,0.034464,0.039696,0.047644,0.052568,0.058128,0.063876,0.0715,0.076684,0.081784,0.087216,0.094508,0.09696,0.086116,0.027396,0.005608,0.017164,0.0491,0.07462,0.094748,0.107884,0.112704,0.1108,0.102608,0.089236,0.074376,0.05764,0.041748,0.028816,0.017628,0.010652,0.005804,0.002812,0.001172,0.000372,0.000116,0.001096,0.00396,0.011352,0.021036,0.034884,0.050052,0.066744,0.08272,0.098184,0.112748,0.122416,0.126024,0.121832,0.096972,0.041436,0.007428,0.001116,0.0,0.0,0.0,0.002912,0.010776,0.027576,0.048596,0.070124,0.091708,0.110736,0.123972,0.126312,0.120032,0.107176,0.082084,0.05182,0.021424,0.004312,0.00044,0.0,0.0,0.0,0.0
m1343_rm.obj,AircraftBuoyant,0.2231546898100043,1.880912705063079,1.425826167870617,1.1815211760408455,0.46655077329030653,1.0,0.6491781849516338,0.8463665487155262,1.0,0.71900702,0.7183377799999999,0.0,0.00432,0.004592,0.007408,0.008692,0.011084,0.018704,0.016428,0.071876,0.214444,0.166208,0.085668,0.104372,0.105464,0.11012,0.042368,0.009992,0.016336,0.001924,0.0,0.004232,0.014876,0.02656,0.039556,0.052584,0.065668,0.075612,0.085012,0.095216,0.102656,0.104568,0.099616,0.094788,0.09018,0.019372,0.00872,0.007724,0.007032,0.003988,0.00204,0.02086,0.055828,0.082332,0.098276,0.108912,0.110384,0.104448,0.09302,0.079488,0.0664,0.053136,0.040848,0.029424,0.021068,0.01408,0.009364,0.005904,0.003444,0.002036,0.000748,0.001708,0.009608,0.028416,0.055752,0.088336,0.115268,0.136312,0.14632,0.146568,0.130076,0.09482,0.033144,0.009652,0.003752,0.000268,0.0,0.0,0.0,0.0,0.0,0.005756,0.026856,0.065464,0.108532,0.144272,0.162596,0.157268,0.13752,0.102512,0.06106,0.022892,0.004568,0.0007,4e-06,0.0,0.0,0.0,0.0,0.0,0.0
m1341_rm.obj,AircraftBuoyant,0.055441551440679394,0.8563169291379972,1.1306697572713498,1.8062608418495179,0.4279583663070126,0.7324579768231068,0.2085515351699769,0.5536298948805487,1.0,0.37310372999999997,0.37310549000000004,0.00838,0.015324,0.003396,0.04336,0.116424,0.125216,0.128436,0.113428,0.10132,0.077176,0.088732,0.04768,0.0,0.0,0.0,0.005584,0.024732,0.018164,0.023956,0.058692,0.01262,0.039576,0.068784,0.086576,0.104724,0.128172,0.151688,0.120916,0.048836,0.033444,0.029868,0.0274,0.024208,0.024644,0.023904,0.023972,0.022032,0.016384,0.00942,0.002832,0.05296,0.093976,0.09904,0.088376,0.084124,0.084372,0.079316,0.073224,0.065332,0.056896,0.048432,0.039416,0.033348,0.026548,0.021716,0.01828,0.01436,0.011096,0.006732,0.002456,0.00576,0.038228,0.097984,0.167512,0.215524,0.216948,0.1175,0.054492,0.042292,0.035308,0.008452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016484,0.093616,0.195404,0.251564,0.22654,0.138168,0.052296,0.022344,0.003584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m1342_rm.obj,AircraftBuoyant,0.16165609147752866,1.5348153195628187,1.3296681434812254,1.2232968412578578,0.44042720827004167,0.9200915060770795,0.5966353623612046,0.8174630770498416,1.0,0.61750931,0.6218517699999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022636,0.3161,0.15314,0.131168,0.139632,0.141164,0.034492,0.007676,0.00366,0.033028,0.013704,0.0036,0.006588,0.018256,0.029196,0.039568,0.049372,0.059776,0.07018,0.080656,0.091568,0.10346,0.115428,0.1195,0.083892,0.045456,0.031116,0.021728,0.01444,0.008368,0.009324,0.002128,0.026668,0.058412,0.082188,0.097648,0.10524,0.107044,0.099236,0.08942,0.078912,0.066464,0.054544,0.041636,0.031548,0.02336,0.015452,0.010484,0.00628,0.003504,0.001496,0.000464,0.002228,0.012024,0.031212,0.056168,0.084432,0.111576,0.134108,0.15242,0.159852,0.140932,0.073996,0.02882,0.011064,0.001168,0.0,0.0,0.0,0.0,0.0,0.0,0.005752,0.030148,0.068576,0.110276,0.144264,0.162956,0.162148,0.143044,0.10462,0.053052,0.01338,0.001784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m1346_rm.obj,AircraftBuoyant,0.046790963008367464,0.817730967859243,1.1041673587887864,2.2082843491852273,0.5404572988703432,0.7262703289806725,0.1376413099200193,0.4528402333553475,1.0,0.34848078000000005,0.31264469,0.0,0.0,0.0,0.0,0.188184,0.126828,0.101264,0.07634,0.0765,0.062416,0.06936,0.066492,0.06536,0.06072,0.050368,0.03894,0.015264,0.001964,0.0,0.0,0.011536,0.036524,0.064364,0.097284,0.133652,0.125364,0.097816,0.082892,0.072016,0.060496,0.051292,0.043304,0.035348,0.027688,0.022028,0.017044,0.011592,0.006624,0.002744,0.000392,0.050528,0.113244,0.124188,0.106488,0.08302,0.06752,0.05726,0.050584,0.04602,0.041764,0.040848,0.039256,0.037468,0.036144,0.033092,0.02898,0.022208,0.014136,0.006452,0.0008,0.005736,0.038492,0.099796,0.17128,0.218668,0.214844,0.165256,0.077352,0.008128,0.000436,1.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018584,0.102104,0.208652,0.270068,0.249132,0.13508,0.016296,8.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m1349_rm.obj,AircraftBuoyant,0.04519488450677442,0.810818884777831,1.0973899070036002,2.3074942664183102,0.36149123234813313,0.6081835621394025,0.18710056538076097,0.43337052427532086,1.0,0.36885608000000003,0.26117006,0.0,0.0,0.0,0.03882,0.19188,0.133976,0.108612,0.09044,0.064316,0.0622,0.055208,0.052384,0.049,0.054044,0.051532,0.031012,0.014548,0.002028,0.0,0.0,0.01404,0.044988,0.0747,0.102564,0.136872,0.124272,0.10268,0.08438,0.069688,0.059384,0.048884,0.038728,0.029716,0.022008,0.017124,0.013088,0.008712,0.005336,0.0023,0.000536,0.05428,0.115308,0.122456,0.104296,0.08336,0.067484,0.057396,0.050316,0.044892,0.041488,0.039288,0.036936,0.036088,0.034796,0.034172,0.030296,0.024688,0.015304,0.005976,0.00118,0.007244,0.048908,0.118988,0.195748,0.232996,0.204872,0.136204,0.047388,0.006796,0.000792,6.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022548,0.122372,0.236688,0.286776,0.231136,0.091952,0.008416,0.000112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m1348_rm.obj,AircraftBuoyant,0.04634729700378179,0.8127193344631437,1.1015356088025898,2.209635199661287,0.5424046850399423,0.724489818029147,0.13762949257582865,0.45256339152874153,1.0,0.34100131,0.31160681,0.0,0.0,0.0,0.0,0.188832,0.137696,0.093816,0.080956,0.081396,0.066464,0.065324,0.06134,0.06104,0.058828,0.050684,0.034124,0.017444,0.002056,0.0,0.0,0.012232,0.037252,0.064088,0.097884,0.135604,0.128372,0.099208,0.08214,0.070764,0.060364,0.051528,0.042952,0.033888,0.027104,0.021048,0.015464,0.010744,0.006516,0.00246,0.000388,0.0501,0.111928,0.123864,0.1054,0.084368,0.068852,0.058592,0.050896,0.046688,0.042784,0.040616,0.038648,0.037248,0.035432,0.032868,0.028392,0.0225,0.013772,0.006164,0.000888,0.006108,0.039132,0.102256,0.174684,0.2189,0.21494,0.162692,0.073776,0.00722,0.00028,1.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018628,0.103324,0.210148,0.27418,0.248772,0.130572,0.014268,0.000108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m1345_rm.obj,AircraftBuoyant,0.13086087379827202,1.402087541086567,1.3161277226964974,1.423158874637318,0.41231520326835447,0.005676206467216177,0.5052579969194074,0.7026622380827601,1.0,0.60507529,0.60504221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025316,0.265556,0.1765,0.293488,0.162744,0.018956,0.016452,0.011748,0.00426,0.0,0.000164,0.0,0.024816,0.006856,0.02004,0.033832,0.04776,0.061472,0.075708,0.089752,0.101584,0.115752,0.127956,0.132776,0.094392,0.033628,0.021376,0.01238,0.004736,0.004104,0.004584,0.006424,0.004888,0.023512,0.05696,0.080312,0.097424,0.1054,0.105696,0.102684,0.094132,0.084564,0.070192,0.055144,0.041068,0.028492,0.020464,0.013964,0.009008,0.005368,0.003292,0.001768,0.000556,0.002512,0.014948,0.038528,0.070288,0.10902,0.14178,0.171896,0.18238,0.156336,0.068008,0.026028,0.010204,0.005692,0.002344,3.6e-05,0.0,0.0,0.0,0.0,0.0,0.007196,0.036708,0.084796,0.132708,0.170784,0.18622,0.171444,0.12534,0.060608,0.018232,0.00486,0.001076,2.8e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m1351_rm.obj,AircraftBuoyant,0.024612854933375464,0.5764201981585129,1.042233851642455,2.795382317688987,0.6570342724321651,0.8491179066730905,0.06308490583043909,0.35773282018422625,1.0,0.19267357000000002,0.22164904000000002,0.0,0.0,0.01702,0.126216,0.076632,0.069632,0.064104,0.057836,0.07556,0.088632,0.088612,0.081448,0.074012,0.062164,0.04976,0.024896,0.026516,0.014432,0.002528,0.0,0.0193,0.065288,0.09786,0.123848,0.093812,0.079716,0.073284,0.065748,0.062072,0.05596,0.04996,0.045996,0.041676,0.036196,0.03056,0.025076,0.018112,0.010628,0.004276,0.000632,0.102312,0.159736,0.119628,0.080124,0.060144,0.04822,0.039884,0.035116,0.033328,0.030968,0.031168,0.030984,0.032748,0.035108,0.037984,0.039668,0.035584,0.028016,0.015684,0.003596,0.011808,0.075372,0.152684,0.217272,0.2385,0.191072,0.100184,0.0131,8e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036652,0.183716,0.305148,0.2995,0.158684,0.016284,1.6e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
