label,category,manhattan+chi-squared_topk_pct,manhattan+emd_topk_pct,manhattan+kullback-leibler_topk_pct
AircraftBuoyant/m1337_rm.obj,AircraftBuoyant,10.0,10.0,10.0
AircraftBuoyant/m1338_rm.obj,AircraftBuoyant,10.0,10.0,10.0
AircraftBuoyant/m1343_rm.obj,AircraftBuoyant,0.0,0.0,0.0
AircraftBuoyant/m1341_rm.obj,AircraftBuoyant,10.0,10.0,0.0
AircraftBuoyant/m1342_rm.obj,AircraftBuoyant,10.0,10.0,10.0
AircraftBuoyant/m1346_rm.obj,AircraftBuoyant,30.0,20.0,40.0
AircraftBuoyant/m1349_rm.obj,AircraftBuoyant,20.0,10.0,30.0
AircraftBuoyant/m1348_rm.obj,AircraftBuoyant,30.0,30.0,40.0
AircraftBuoyant/m1345_rm.obj,AircraftBuoyant,0.0,0.0,0.0
AircraftBuoyant/m1351_rm.obj,AircraftBuoyant,0.0,0.0,0.0
Apartment/D00138_rm.obj,Apartment,0.0,20.0,0.0
Apartment/D00156_rm.obj,Apartment,10.0,10.0,10.0
AircraftBuoyant/m1344_rm.obj,AircraftBuoyant,10.0,10.0,0.0
AircraftBuoyant/m1340_rm.obj,AircraftBuoyant,10.0,10.0,10.0
AircraftBuoyant/m1350_rm.obj,AircraftBuoyant,20.0,20.0,30.0
Apartment/D00639_rm.obj,Apartment,30.0,40.0,30.0
Apartment/D00348_rm.obj,Apartment,20.0,20.0,20.0
Apartment/D00045_rm.obj,Apartment,0.0,30.0,10.0
AircraftBuoyant/m1352_rm.obj,AircraftBuoyant,10.0,0.0,30.0
Apartment/D00792_rm.obj,Apartment,10.0,10.0,10.0
Apartment/D00478_rm.obj,Apartment,30.0,40.0,40.0
Apartment/D00496_rm.obj,Apartment,0.0,10.0,0.0
AircraftBuoyant/m1339_rm.obj,AircraftBuoyant,0.0,0.0,0.0
Apartment/D00651_rm.obj,Apartment,10.0,10.0,10.0
Apartment/D00086_rm.obj,Apartment,10.0,20.0,10.0
Apartment/D00310_rm.obj,Apartment,0.0,0.0,0.0
Apartment/D00780_rm.obj,Apartment,0.0,0.0,0.0
Apartment/m463_rm.obj,Apartment,0.0,0.0,0.0
Apartment/m465_rm.obj,Apartment,0.0,0.0,0.0
AircraftBuoyant/m1347_rm.obj,AircraftBuoyant,0.0,0.0,0.0
Apartment/D00921_rm.obj,Apartment,20.0,30.0,30.0
AquaticAnimal/m56_rm.obj,AquaticAnimal,30.0,20.0,50.0
AquaticAnimal/m58_rm.obj,AquaticAnimal,0.0,0.0,0.0
Apartment/D00859_rm.obj,Apartment,0.0,0.0,0.0
Apartment/D00953_rm.obj,Apartment,0.0,0.0,0.0
Apartment/D00860_rm.obj,Apartment,30.0,40.0,40.0
Apartment/D00869_rm.obj,Apartment,0.0,0.0,0.0
AquaticAnimal/m60_rm.obj,AquaticAnimal,20.0,10.0,10.0
AquaticAnimal/m61_rm.obj,AquaticAnimal,40.0,20.0,30.0
AquaticAnimal/m62_rm.obj,AquaticAnimal,10.0,0.0,10.0
Apartment/D00366_rm.obj,Apartment,10.0,10.0,10.0
AquaticAnimal/m65_rm.obj,AquaticAnimal,0.0,0.0,0.0
Apartment/D00681_rm.obj,Apartment,30.0,10.0,30.0
AquaticAnimal/m67_rm.obj,AquaticAnimal,20.0,20.0,0.0
AquaticAnimal/m68_rm.obj,AquaticAnimal,0.0,0.0,0.0
AquaticAnimal/m55_rm.obj,AquaticAnimal,10.0,10.0,30.0
AquaticAnimal/m69_rm.obj,AquaticAnimal,40.0,30.0,40.0
Apartment/m464_rm.obj,Apartment,0.0,0.0,0.0
AquaticAnimal/m70_rm.obj,AquaticAnimal,40.0,10.0,40.0
AquaticAnimal/m72_rm.obj,AquaticAnimal,60.0,40.0,60.0
AquaticAnimal/m71_rm.obj,AquaticAnimal,10.0,0.0,10.0
AquaticAnimal/m73_rm.obj,AquaticAnimal,0.0,0.0,0.0
AquaticAnimal/m59_rm.obj,AquaticAnimal,10.0,10.0,10.0
AquaticAnimal/m75_rm.obj,AquaticAnimal,40.0,20.0,50.0
AquaticAnimal/m76_rm.obj,AquaticAnimal,30.0,10.0,30.0
AquaticAnimal/m78_rm.obj,AquaticAnimal,30.0,20.0,30.0
AquaticAnimal/m79_rm.obj,AquaticAnimal,10.0,10.0,10.0
AquaticAnimal/m77_rm.obj,AquaticAnimal,30.0,10.0,50.0
AquaticAnimal/m80_rm.obj,AquaticAnimal,40.0,20.0,40.0
AquaticAnimal/m53_rm.obj,AquaticAnimal,30.0,10.0,30.0
AquaticAnimal/m63_rm.obj,AquaticAnimal,0.0,0.0,0.0
AquaticAnimal/m64_rm.obj,AquaticAnimal,30.0,10.0,50.0
Bed/D00121_rm.obj,Bed,30.0,20.0,30.0
Bed/D00031_rm.obj,Bed,40.0,40.0,40.0
AquaticAnimal/m54_rm.obj,AquaticAnimal,20.0,20.0,20.0
Bed/D00184_rm.obj,Bed,10.0,20.0,10.0
Bed/D00210_rm.obj,Bed,40.0,50.0,40.0
Bed/D00213_rm.obj,Bed,30.0,50.0,30.0
Bed/D00217_rm.obj,Bed,20.0,20.0,20.0
AquaticAnimal/m57_rm.obj,AquaticAnimal,20.0,20.0,20.0
Bed/D00322_rm.obj,Bed,30.0,20.0,30.0
Bed/D00417_rm.obj,Bed,40.0,40.0,40.0
Bed/D00538_rm.obj,Bed,40.0,60.0,50.0
Bed/D00735_rm.obj,Bed,0.0,30.0,10.0
Bed/D00988_rm.obj,Bed,40.0,40.0,40.0
Bed/D00839_rm.obj,Bed,10.0,60.0,30.0
Apartment/D00626_rm.obj,Apartment,0.0,0.0,0.0
Bed/m945_rm.obj,Bed,30.0,20.0,30.0
Bed/m946_rm.obj,Bed,40.0,30.0,50.0
Bed/D00110_rm.obj,Bed,10.0,30.0,30.0
AquaticAnimal/m66_rm.obj,AquaticAnimal,0.0,0.0,0.0
Bed/m948_rm.obj,Bed,0.0,10.0,10.0
Bed/m949_rm.obj,Bed,10.0,0.0,10.0
Bed/m950_rm.obj,Bed,10.0,0.0,10.0
Bed/D00552_rm.obj,Bed,10.0,40.0,10.0
Bed/D00969_rm.obj,Bed,40.0,70.0,50.0
AquaticAnimal/m74_rm.obj,AquaticAnimal,60.0,20.0,60.0
Bed/D00650_rm.obj,Bed,40.0,40.0,40.0
Bicycle/D00514_rm.obj,Bicycle,100.0,80.0,90.0
AquaticAnimal/m81_rm.obj,AquaticAnimal,50.0,40.0,60.0
Bed/D00307_rm.obj,Bed,0.0,0.0,0.0
Bed/m947_rm.obj,Bed,0.0,20.0,0.0
Bed/m951_rm.obj,Bed,0.0,30.0,10.0
Bicycle/D00033_rm.obj,Bicycle,40.0,10.0,50.0
Bicycle/D00077_rm.obj,Bicycle,100.0,100.0,100.0
Bicycle/D00567_rm.obj,Bicycle,100.0,80.0,100.0
Bed/D00565_rm.obj,Bed,20.0,30.0,20.0
Bed/D00545_rm.obj,Bed,40.0,50.0,50.0
Bicycle/D00016_rm.obj,Bicycle,100.0,90.0,100.0
Bicycle/D00536_rm.obj,Bicycle,60.0,50.0,60.0
Bed/D00836_rm.obj,Bed,10.0,0.0,10.0
Bicycle/D00930_rm.obj,Bicycle,20.0,40.0,0.0
Bicycle/D00078_rm.obj,Bicycle,90.0,70.0,100.0
Bicycle/D00040_rm.obj,Bicycle,100.0,90.0,100.0
Bicycle/m1476_rm.obj,Bicycle,100.0,90.0,100.0
Bicycle/D00462_rm.obj,Bicycle,90.0,80.0,100.0
Bicycle/D00558_rm.obj,Bicycle,100.0,80.0,100.0
Bicycle/D00555_rm.obj,Bicycle,50.0,80.0,60.0
Bicycle/D00708_rm.obj,Bicycle,80.0,70.0,80.0
Bicycle/D00621_rm.obj,Bicycle,100.0,90.0,100.0
Bicycle/D00750_rm.obj,Bicycle,100.0,90.0,100.0
Bicycle/D00838_rm.obj,Bicycle,80.0,60.0,80.0
Bicycle/m1477_rm.obj,Bicycle,100.0,80.0,100.0
Bicycle/D00931_rm.obj,Bicycle,90.0,60.0,80.0
Bicycle/D00847_rm.obj,Bicycle,90.0,70.0,100.0
Bicycle/D00904_rm.obj,Bicycle,60.0,40.0,60.0
Biplane/D00276_rm.obj,Biplane,10.0,0.0,10.0
Bicycle/m1472_rm.obj,Bicycle,100.0,40.0,100.0
Bicycle/m1473_rm.obj,Bicycle,50.0,10.0,50.0
Biplane/D00410_rm.obj,Biplane,20.0,0.0,20.0
Biplane/D00601_rm.obj,Biplane,0.0,0.0,0.0
Biplane/D00178_rm.obj,Biplane,40.0,20.0,40.0
Biplane/D00199_rm.obj,Biplane,70.0,70.0,80.0
Biplane/D00069_rm.obj,Biplane,40.0,10.0,40.0
Biplane/D00132_rm.obj,Biplane,10.0,0.0,20.0
Biplane/D00632_rm.obj,Biplane,80.0,80.0,100.0
Bicycle/m1478_rm.obj,Bicycle,90.0,90.0,100.0
Biplane/D00277_rm.obj,Biplane,50.0,40.0,60.0
Bicycle/D00974_rm.obj,Bicycle,90.0,80.0,80.0
Biplane/D00666_rm.obj,Biplane,40.0,40.0,70.0
Biplane/m1120_rm.obj,Biplane,60.0,20.0,60.0
Biplane/m1119_rm.obj,Biplane,10.0,20.0,30.0
Biplane/D00320_rm.obj,Biplane,10.0,20.0,30.0
Biplane/D00515_rm.obj,Biplane,70.0,70.0,80.0
Bicycle/m1475_rm.obj,Bicycle,90.0,80.0,90.0
Biplane/D00890_rm.obj,Biplane,60.0,20.0,70.0
Biplane/m1118_rm.obj,Biplane,30.0,10.0,30.0
Biplane/D00373_rm.obj,Biplane,40.0,50.0,70.0
Biplane/D00854_rm.obj,Biplane,70.0,60.0,80.0
Biplane/D00246_rm.obj,Biplane,10.0,10.0,20.0
Biplane/D00490_rm.obj,Biplane,40.0,10.0,30.0
Biplane/m1132_rm.obj,Biplane,20.0,10.0,30.0
Biplane/m1123_rm.obj,Biplane,50.0,20.0,60.0
Biplane/D00616_rm.obj,Biplane,0.0,0.0,20.0
Biplane/D00900_rm.obj,Biplane,20.0,20.0,20.0
Biplane/m1126_rm.obj,Biplane,40.0,30.0,60.0
Biplane/m1124_rm.obj,Biplane,40.0,20.0,60.0
Biplane/m1136_rm.obj,Biplane,30.0,20.0,30.0
Biplane/D00634_rm.obj,Biplane,10.0,20.0,10.0
Biplane/m1122_rm.obj,Biplane,20.0,20.0,10.0
Biplane/m1125_rm.obj,Biplane,20.0,30.0,20.0
Biplane/m1139_rm.obj,Biplane,20.0,10.0,40.0
Biplane/m1137_rm.obj,Biplane,10.0,10.0,20.0
Biplane/m1121_rm.obj,Biplane,60.0,60.0,80.0
