filename,class,vertices,faces,face_type,bounding_box
m1337.obj,AircraftBuoyant,201,340,triangles,"{'min_x': 0.025, 'max_x': 0.889234, 'min_y': 0.025, 'max_y': 0.975, 'min_z': 0.025, 'max_z': 0.889234}"
m1338.obj,AircraftBuoyant,8761,16960,triangles,"{'min_x': 0.025, 'max_x': 0.933058, 'min_y': 0.025, 'max_y': 0.975, 'min_z': 0.025, 'max_z': 0.937901}"
m1339.obj,AircraftBuoyant,1878,6173,triangles,"{'min_x': 0.025, 'max_x': 0.607072, 'min_y': 0.025, 'max_y': 0.975, 'min_z': 0.025, 'max_z': 0.626812}"
m1340.obj,AircraftBuoyant,778,1457,triangles,"{'min_x': 0.025, 'max_x': 0.367686, 'min_y': 0.025, 'max_y': 0.975, 'min_z': 0.025, 'max_z': 0.367689}"
m1341.obj,AircraftBuoyant,425,824,triangles,"{'min_x': 0.025, 'max_x': 0.379575, 'min_y': 0.025, 'max_y': 0.975, 'min_z': 0.025, 'max_z': 0.379575}"
m1342.obj,AircraftBuoyant,1252,2305,triangles,"{'min_x': 0.025, 'max_x': 0.611587, 'min_y': 0.025, 'max_y': 0.975, 'min_z': 0.025, 'max_z': 0.60936}"
m1343.obj,AircraftBuoyant,178,344,triangles,"{'min_x': 0.025, 'max_x': 0.710921, 'min_y': 0.025, 'max_y': 0.975, 'min_z': 0.025, 'max_z': 0.710921}"
m1344.obj,AircraftBuoyant,1093,1930,triangles,"{'min_x': 0.025, 'max_x': 0.674099, 'min_y': 0.025, 'max_y': 0.975, 'min_z': 0.025, 'max_z': 0.6741}"
m1345.obj,AircraftBuoyant,3174,6000,triangles,"{'min_x': 0.025, 'max_x': 0.601277, 'min_y': 0.025, 'max_y': 0.975, 'min_z': 0.025, 'max_z': 0.601277}"
m1346.obj,AircraftBuoyant,742,1375,triangles,"{'min_x': 0.025, 'max_x': 0.322079, 'min_y': 0.025, 'max_y': 0.354725, 'min_z': 0.025, 'max_z': 0.975}"
m1347.obj,AircraftBuoyant,3055,6274,triangles,"{'min_x': 0.025, 'max_x': 0.312086, 'min_y': 0.025, 'max_y': 0.419881, 'min_z': 0.025, 'max_z': 0.975}"
m1348.obj,AircraftBuoyant,795,1382,triangles,"{'min_x': 0.025, 'max_x': 0.321693, 'min_y': 0.025, 'max_y': 0.354958, 'min_z': 0.025, 'max_z': 0.975}"
m1349.obj,AircraftBuoyant,432,640,triangles,"{'min_x': 0.025, 'max_x': 0.975, 'min_y': 0.025, 'max_y': 0.385203, 'min_z': 0.025, 'max_z': 0.273648}"
m1350.obj,AircraftBuoyant,1097,1976,triangles,"{'min_x': 0.025, 'max_x': 0.975, 'min_y': 0.025, 'max_y': 0.291317, 'min_z': 0.025, 'max_z': 0.305022}"
m1351.obj,AircraftBuoyant,12987,24466,triangles,"{'min_x': 0.025, 'max_x': 0.2083, 'min_y': 0.025, 'max_y': 0.219243, 'min_z': 0.025, 'max_z': 0.975}"
m1352.obj,AircraftBuoyant,3298,6348,triangles,"{'min_x': 0.025, 'max_x': 0.975, 'min_y': 0.025, 'max_y': 0.376642, 'min_z': 0.025, 'max_z': 0.332621}"
D00045.obj,Apartment,14865,21021,triangles,"{'min_x': -0.613186, 'max_x': 0.829027, 'min_y': -0.700915, 'max_y': 0.770415, 'min_z': -0.532017, 'max_z': 0.354253}"
D00086.obj,Apartment,20493,42064,triangles,"{'min_x': -0.920883, 'max_x': 0.863162, 'min_y': -0.343487, 'max_y': 1.32482, 'min_z': -0.415469, 'max_z': 0.293879}"
D00138.obj,Apartment,10827,21140,triangles,"{'min_x': -0.782682, 'max_x': 0.776339, 'min_y': -0.514535, 'max_y': 0.633157, 'min_z': -0.317783, 'max_z': 0.198885}"
D00156.obj,Apartment,12732,19380,triangles,"{'min_x': -0.81948, 'max_x': 0.881168, 'min_y': -0.742071, 'max_y': 0.842832, 'min_z': -0.667138, 'max_z': 0.566733}"
D00310.obj,Apartment,14464,9480,triangles,"{'min_x': -0.744656, 'max_x': 1.03298, 'min_y': -0.389316, 'max_y': 0.494357, 'min_z': -0.368775, 'max_z': 0.339434}"
D00348.obj,Apartment,2006,3008,triangles,"{'min_x': -0.94171, 'max_x': 0.725458, 'min_y': -0.40949, 'max_y': 0.566411, 'min_z': -0.813025, 'max_z': 0.205192}"
D00366.obj,Apartment,1294,2540,triangles,"{'min_x': -0.895467, 'max_x': 0.745644, 'min_y': -0.856715, 'max_y': 0.59104, 'min_z': -0.663917, 'max_z': 0.529402}"
D00478.obj,Apartment,19857,25206,triangles,"{'min_x': -0.780623, 'max_x': 0.910492, 'min_y': -0.760414, 'max_y': 0.404719, 'min_z': -0.478043, 'max_z': 0.451362}"
D00496.obj,Apartment,7737,2579,triangles,"{'min_x': -0.643419, 'max_x': 1.15353, 'min_y': -0.704659, 'max_y': 0.878216, 'min_z': -0.341188, 'max_z': 0.259608}"
D00626.obj,Apartment,73184,64688,triangles,"{'min_x': -0.885934, 'max_x': 0.906987, 'min_y': -0.597769, 'max_y': 0.33114, 'min_z': -0.512373, 'max_z': 0.382066}"
D00639.obj,Apartment,4849,7980,triangles,"{'min_x': -0.542818, 'max_x': 1.14108, 'min_y': -0.544259, 'max_y': 0.500059, 'min_z': -0.687879, 'max_z': 0.449116}"
D00651.obj,Apartment,12732,19380,triangles,"{'min_x': -0.948858, 'max_x': 0.916559, 'min_y': -0.950931, 'max_y': 0.904251, 'min_z': -0.556634, 'max_z': 0.661818}"
D00681.obj,Apartment,13823,15557,triangles,"{'min_x': -0.681671, 'max_x': 1.09453, 'min_y': -0.790363, 'max_y': 0.587597, 'min_z': -0.471744, 'max_z': 0.656092}"
D00780.obj,Apartment,8240,13684,triangles,"{'min_x': -0.977731, 'max_x': 0.789199, 'min_y': -0.618236, 'max_y': 0.449639, 'min_z': -0.189083, 'max_z': 0.33395}"
D00792.obj,Apartment,1327,1158,triangles,"{'min_x': -0.795163, 'max_x': 1.10354, 'min_y': -0.965409, 'max_y': 0.963376, 'min_z': -0.669296, 'max_z': 0.859246}"
D00859.obj,Apartment,1378,2163,triangles,"{'min_x': -0.824176, 'max_x': 1.07379, 'min_y': -0.692473, 'max_y': 0.611025, 'min_z': -0.33128, 'max_z': 0.211846}"
D00860.obj,Apartment,19857,25206,triangles,"{'min_x': -0.764923, 'max_x': 0.927037, 'min_y': -0.760034, 'max_y': 0.399913, 'min_z': -0.474753, 'max_z': 0.451175}"
D00869.obj,Apartment,4930,9069,triangles,"{'min_x': -0.984513, 'max_x': 0.688383, 'min_y': -0.521765, 'max_y': 0.644962, 'min_z': -0.380646, 'max_z': 0.551785}"
D00921.obj,Apartment,12842,7983,triangles,"{'min_x': -0.850705, 'max_x': 0.822601, 'min_y': -0.487423, 'max_y': 0.545748, 'min_z': -0.558467, 'max_z': 0.554978}"
D00953.obj,Apartment,4158,7140,triangles,"{'min_x': -0.949201, 'max_x': 0.665321, 'min_y': -0.826799, 'max_y': 0.896079, 'min_z': -0.444887, 'max_z': 0.51871}"
m463.obj,Apartment,2022,3672,triangles,"{'min_x': 0.025, 'max_x': 0.785029, 'min_y': 0.025, 'max_y': 0.975, 'min_z': 0.025, 'max_z': 0.574765}"
m464.obj,Apartment,8301,12810,triangles,"{'min_x': 0.025, 'max_x': 0.347449, 'min_y': 0.025, 'max_y': 0.975, 'min_z': 0.025, 'max_z': 0.296305}"
m465.obj,Apartment,2335,4363,triangles,"{'min_x': 0.025, 'max_x': 0.21702, 'min_y': 0.025, 'max_y': 0.975, 'min_z': 0.025, 'max_z': 0.251523}"
m53.obj,AquaticAnimal,18409,34877,triangles,"{'min_x': 0.025, 'max_x': 0.163371, 'min_y': 0.025, 'max_y': 0.348761, 'min_z': 0.025, 'max_z': 0.975}"
m54.obj,AquaticAnimal,18143,33836,triangles,"{'min_x': 0.025, 'max_x': 0.254899, 'min_y': 0.025, 'max_y': 0.371143, 'min_z': 0.025, 'max_z': 0.975}"
m55.obj,AquaticAnimal,19505,37072,triangles,"{'min_x': 0.025, 'max_x': 0.18151, 'min_y': 0.025, 'max_y': 0.380146, 'min_z': 0.025, 'max_z': 0.975}"
m56.obj,AquaticAnimal,5814,10893,triangles,"{'min_x': 0.025, 'max_x': 0.168956, 'min_y': 0.025, 'max_y': 0.367452, 'min_z': 0.025, 'max_z': 0.975}"
m57.obj,AquaticAnimal,18878,36278,triangles,"{'min_x': 0.025, 'max_x': 0.143963, 'min_y': 0.025, 'max_y': 0.389443, 'min_z': 0.025, 'max_z': 0.975}"
m58.obj,AquaticAnimal,477,950,triangles,"{'min_x': 0.025, 'max_x': 0.537049, 'min_y': 0.025, 'max_y': 0.500211, 'min_z': 0.025, 'max_z': 0.975}"
m59.obj,AquaticAnimal,44,1680,triangles,"{'min_x': 0.025, 'max_x': 0.225, 'min_y': 0.025, 'max_y': 0.225, 'min_z': 0.025, 'max_z': 0.975}"
m60.obj,AquaticAnimal,1606,3208,triangles,"{'min_x': 0.025, 'max_x': 0.348674, 'min_y': 0.025, 'max_y': 0.407675, 'min_z': 0.025, 'max_z': 0.975}"
m61.obj,AquaticAnimal,216,337,triangles,"{'min_x': 0.025, 'max_x': 0.18743, 'min_y': 0.025, 'max_y': 0.443396, 'min_z': 0.025, 'max_z': 0.975}"
m62.obj,AquaticAnimal,241,478,triangles,"{'min_x': 0.025, 'max_x': 0.131276, 'min_y': 0.025, 'max_y': 0.749178, 'min_z': 0.025, 'max_z': 0.975}"
m63.obj,AquaticAnimal,1112,1792,triangles,"{'min_x': 0.025, 'max_x': 0.975, 'min_y': 0.025, 'max_y': 0.724541, 'min_z': 0.025, 'max_z': 0.777238}"
m64.obj,AquaticAnimal,247,444,triangles,"{'min_x': 0.025, 'max_x': 0.975, 'min_y': 0.025, 'max_y': 0.545087, 'min_z': 0.025, 'max_z': 0.1789}"
m65.obj,AquaticAnimal,1004,1930,triangles,"{'min_x': 0.025, 'max_x': 0.399816, 'min_y': 0.025, 'max_y': 0.604595, 'min_z': 0.025, 'max_z': 0.975}"
m66.obj,AquaticAnimal,4117,8196,triangles,"{'min_x': 0.025, 'max_x': 0.445705, 'min_y': 0.025, 'max_y': 0.547553, 'min_z': 0.025, 'max_z': 0.975}"
m67.obj,AquaticAnimal,14000,27996,triangles,"{'min_x': 0.025, 'max_x': 0.975, 'min_y': 0.025, 'max_y': 0.2497, 'min_z': 0.025, 'max_z': 0.388988}"
m68.obj,AquaticAnimal,553,1098,triangles,"{'min_x': 0.025, 'max_x': 0.975, 'min_y': 0.025, 'max_y': 0.278519, 'min_z': 0.025, 'max_z': 0.18743}"
m69.obj,AquaticAnimal,317,560,triangles,"{'min_x': 0.025, 'max_x': 0.357325, 'min_y': 0.025, 'max_y': 0.264776, 'min_z': 0.025, 'max_z': 0.975}"
m70.obj,AquaticAnimal,320,560,triangles,"{'min_x': 0.025, 'max_x': 0.454415, 'min_y': 0.025, 'max_y': 0.266076, 'min_z': 0.025, 'max_z': 0.975}"
m71.obj,AquaticAnimal,420,836,triangles,"{'min_x': 0.025, 'max_x': 0.32599, 'min_y': 0.025, 'max_y': 0.371535, 'min_z': 0.025, 'max_z': 0.975}"
m72.obj,AquaticAnimal,331,590,triangles,"{'min_x': 0.025, 'max_x': 0.456203, 'min_y': 0.025, 'max_y': 0.262828, 'min_z': 0.025, 'max_z': 0.975}"
m73.obj,AquaticAnimal,285,564,triangles,"{'min_x': 0.025, 'max_x': 0.975, 'min_y': 0.025, 'max_y': 0.610865, 'min_z': 0.025, 'max_z': 0.376181}"
m74.obj,AquaticAnimal,162,336,triangles,"{'min_x': 0.025, 'max_x': 0.354455, 'min_y': 0.025, 'max_y': 0.321596, 'min_z': 0.025, 'max_z': 0.975}"
m75.obj,AquaticAnimal,298,512,triangles,"{'min_x': 0.025, 'max_x': 0.538384, 'min_y': 0.025, 'max_y': 0.299311, 'min_z': 0.025, 'max_z': 0.975}"
m76.obj,AquaticAnimal,1583,3164,triangles,"{'min_x': 0.025, 'max_x': 0.39593, 'min_y': 0.025, 'max_y': 0.35314, 'min_z': 0.025, 'max_z': 0.975}"
m77.obj,AquaticAnimal,11578,23022,triangles,"{'min_x': 0.025, 'max_x': 0.975, 'min_y': 0.025, 'max_y': 0.407994, 'min_z': 0.025, 'max_z': 0.611203}"
m78.obj,AquaticAnimal,468,734,triangles,"{'min_x': 0.025, 'max_x': 0.975, 'min_y': 0.025, 'max_y': 0.51665, 'min_z': 0.025, 'max_z': 0.428181}"
m79.obj,AquaticAnimal,166,226,triangles,"{'min_x': 0.025, 'max_x': 0.975, 'min_y': 0.025, 'max_y': 0.256171, 'min_z': 0.025, 'max_z': 0.300958}"
m80.obj,AquaticAnimal,1104,2104,triangles,"{'min_x': 0.025, 'max_x': 0.975, 'min_y': 0.025, 'max_y': 0.308883, 'min_z': 0.025, 'max_z': 0.416001}"
m81.obj,AquaticAnimal,857,1673,triangles,"{'min_x': 0.025, 'max_x': 0.4145, 'min_y': 0.025, 'max_y': 0.291, 'min_z': 0.025, 'max_z': 0.975}"
D00031.obj,Bed,1867,3590,triangles,"{'min_x': -0.669666, 'max_x': 0.930426, 'min_y': -0.708463, 'max_y': 0.726534, 'min_z': -0.267503, 'max_z': 0.312193}"
D00110.obj,Bed,1926,3644,triangles,"{'min_x': -0.8889, 'max_x': 0.75223, 'min_y': -0.718484, 'max_y': 0.524562, 'min_z': -0.220014, 'max_z': 0.339705}"
D00121.obj,Bed,15368,24612,triangles,"{'min_x': -0.912283, 'max_x': 0.78579, 'min_y': -0.599669, 'max_y': 0.858504, 'min_z': -0.482021, 'max_z': 0.463209}"
D00184.obj,Bed,7218,14204,triangles,"{'min_x': -0.937684, 'max_x': 0.750002, 'min_y': -0.891329, 'max_y': 0.664602, 'min_z': -0.466361, 'max_z': 0.341943}"
D00210.obj,Bed,22063,34247,triangles,"{'min_x': -0.667887, 'max_x': 0.81694, 'min_y': -0.532688, 'max_y': 0.866731, 'min_z': -0.412555, 'max_z': 0.546372}"
D00213.obj,Bed,2277,4536,triangles,"{'min_x': -0.955079, 'max_x': 0.747501, 'min_y': -0.365319, 'max_y': 0.50444, 'min_z': -0.375599, 'max_z': 0.275625}"
D00217.obj,Bed,3238,6272,triangles,"{'min_x': -0.842601, 'max_x': 0.881592, 'min_y': -0.54509, 'max_y': 0.411619, 'min_z': -0.3038, 'max_z': 0.422549}"
D00307.obj,Bed,2644,5259,triangles,"{'min_x': -0.820216, 'max_x': 0.991699, 'min_y': -0.833938, 'max_y': 0.872106, 'min_z': -0.213808, 'max_z': 0.392634}"
D00322.obj,Bed,9342,14796,triangles,"{'min_x': -0.94314, 'max_x': 0.864001, 'min_y': -0.415536, 'max_y': 0.599245, 'min_z': -0.520955, 'max_z': 0.520602}"
D00417.obj,Bed,12808,24736,triangles,"{'min_x': -0.799888, 'max_x': 0.796046, 'min_y': -0.509407, 'max_y': 0.668083, 'min_z': -0.374758, 'max_z': 0.302302}"
